Product_ID,Month,Sale_Date,Sales_Rep,Region, Sales_Amount ,Quantity_Sold,Product_Category, Unit_Cost , Unit_Price ,Customer_Type,Discount,Payment_Method,Sales_Channel,Revenue
1035,May,22-05-2023,Alice,South,"3,780.22",45,Food,"4,132.79","4,624.10",New,15.00%,Credit Card,Retail,208084.5
1078,November,16-11-2023,David,East,113.4,8,Furniture,"3,459.61","3,657.23",Returning,3.00%,Bank Transfer,Online,29257.84
1081,February,07-02-2023,David,East,"3,068.03",41,Furniture,"2,782.08","2,879.24",New,21.00%,Bank Transfer,Online,118048.84
1036,October,20-10-2023,David,North,"6,499.94",49,Clothing,"1,247.10","1,429.44",New,16.00%,Cash,Online,70042.56
1050,May,19-05-2023,Charlie,East,"9,744.52",35,Clothing,"2,158.69","2,384.38",Returning,9.00%,Bank Transfer,Retail,83453.3
1004,December,22-12-2023,Eve,North,"8,485.90",11,Clothing,"4,840.33","4,884.29",New,13.00%,Cash,Online,53727.19
1002,November,29-11-2023,David,North,333.59,24,Furniture,"3,305.94","3,599.27",New,9.00%,Credit Card,Retail,86382.48
1006,September,16-09-2023,Bob,North,"8,995.75",49,Food,"2,843.76","3,146.60",New,8.00%,Cash,Retail,154183.4
1054,June,10-06-2023,Bob,South,"7,853.66",21,Furniture,"4,668.14","5,040.22",New,5.00%,Bank Transfer,Online,105844.62
1004,June,27-06-2023,Alice,West,"7,825.72",2,Electronics,"2,953.23","2,977.52",Returning,11.00%,Credit Card,Retail,5955.04
1054,January,10-01-2023,Eve,South,"4,634.16",40,Furniture,"2,654.11","2,929.32",Returning,8.00%,Cash,Online,117172.8
1093,September,18-09-2023,David,West,"4,040.25",19,Electronics,"3,808.59","3,844.51",New,21.00%,Credit Card,Online,73045.69
1063,May,18-05-2023,Bob,West,"3,098.87",39,Food,"3,577.69","3,931.25",Returning,21.00%,Cash,Retail,153318.75
1018,June,21-06-2023,Eve,North,750.38,28,Clothing,"1,006.14","1,043.45",New,15.00%,Bank Transfer,Retail,29216.6
1090,January,13-01-2023,Alice,East,"2,359.53",17,Clothing,"2,382.98","2,839.73",Returning,23.00%,Bank Transfer,Retail,48275.41
1044,June,17-06-2023,Charlie,North,"2,541.38",6,Furniture,"2,388.95","2,742.97",Returning,25.00%,Credit Card,Retail,16457.82
1034,May,10-05-2023,Eve,East,"4,892.36",19,Clothing,"1,922.21","2,180.83",Returning,17.00%,Credit Card,Retail,41435.77
1074,March,25-03-2023,Eve,West,"7,499.70",38,Food,"2,610.60","2,836.94",Returning,19.00%,Credit Card,Online,107803.72
1062,November,17-11-2023,Charlie,North,"4,790.72",28,Clothing,"2,094.88","2,168.91",Returning,8.00%,Cash,Retail,60729.48
1100,November,15-11-2023,Eve,East,672.66,2,Furniture,"1,036.76","1,189.35",New,27.00%,Bank Transfer,Online,2378.7
1014,April,11-04-2023,Alice,South,"9,582.12",38,Food,"2,091.21","2,527.00",Returning,1.00%,Credit Card,Online,96026
1095,November,25-11-2023,Alice,East,"9,432.97",37,Electronics,407.77,860.95,New,10.00%,Credit Card,Retail,31855.15
1048,September,30-09-2023,Charlie,North,"7,873.38",4,Furniture,"2,900.14","2,910.51",New,22.00%,Credit Card,Retail,11642.04
1015,September,22-09-2023,David,South,"9,914.15",22,Electronics,"4,275.59","4,576.72",Returning,2.00%,Cash,Retail,100687.84
1072,February,07-02-2023,Bob,East,"5,490.38",26,Food,"3,640.17","4,002.63",New,5.00%,Credit Card,Retail,104068.38
1078,April,04-04-2023,David,East,"9,631.41",49,Furniture,"1,833.95","2,147.14",Returning,18.00%,Credit Card,Retail,105209.86
1087,April,05-04-2023,Eve,East,848.49,43,Furniture,481,531.02,New,17.00%,Cash,Online,22833.86
1062,November,01-11-2023,Bob,East,"3,720.24",36,Food,"1,050.64","1,167.33",New,22.00%,Cash,Online,42023.88
1040,March,10-03-2023,Charlie,East,"2,331.27",13,Clothing,"2,750.18","2,882.85",Returning,24.00%,Credit Card,Online,37477.05
1085,November,14-11-2023,Charlie,South,"2,038.75",32,Furniture,"1,074.93","1,492.48",Returning,4.00%,Credit Card,Retail,47759.36
1080,August,24-08-2023,Bob,West,"1,493.95",17,Furniture,"2,742.67","2,979.64",Returning,1.00%,Cash,Retail,50653.88
1082,November,30-11-2023,Alice,South,"6,261.90",41,Electronics,"1,196.42","1,444.97",Returning,21.00%,Bank Transfer,Online,59243.77
1053,May,17-05-2023,Bob,South,"7,835.09",36,Clothing,"4,252.17","4,720.27",New,9.00%,Cash,Retail,169929.72
1024,March,17-03-2023,Eve,South,"5,825.15",46,Electronics,"2,016.49","2,338.66",Returning,19.00%,Bank Transfer,Retail,107578.36
1026,February,04-02-2023,Alice,West,"1,554.93",19,Electronics,"1,265.48","1,715.83",New,5.00%,Credit Card,Retail,32600.77
1089,January,01-01-2023,Charlie,North,"8,130.13",35,Clothing,"4,071.01","4,304.70",New,14.00%,Credit Card,Online,150664.5
1060,October,23-10-2023,Bob,West,"6,395.95",46,Clothing,"1,747.05","1,830.27",New,15.00%,Bank Transfer,Retail,84192.42
1041,November,16-11-2023,David,South,"3,942.84",40,Food,601.86,"1,067.53",New,18.00%,Cash,Online,42701.2
1029,March,01-03-2023,David,East,"6,773.89",28,Clothing,"2,873.53","3,108.30",New,15.00%,Credit Card,Retail,87032.4
1015,November,16-11-2023,Eve,East,"2,673.06",1,Furniture,"2,928.74","3,027.74",New,15.00%,Bank Transfer,Retail,3027.74
1045,December,15-12-2023,David,South,"3,517.40",42,Clothing,"3,587.74","3,745.91",Returning,10.00%,Cash,Online,157328.22
1065,November,24-11-2023,Bob,East,"9,183.11",18,Food,"1,239.09","1,273.98",New,2.00%,Bank Transfer,Retail,22931.64
1089,September,24-09-2023,Bob,South,"2,975.99",48,Food,"2,246.67","2,486.14",New,3.00%,Cash,Retail,119334.72
1071,December,27-12-2023,David,East,"4,752.88",40,Food,"1,447.72","1,875.75",New,13.00%,Cash,Retail,75030
1009,August,17-08-2023,Bob,West,"8,912.40",33,Clothing,450.72,918.17,Returning,11.00%,Cash,Online,30299.61
1088,September,27-09-2023,Eve,North,"7,106.44",12,Clothing,"4,389.24","4,856.22",Returning,15.00%,Cash,Retail,58274.64
1001,November,12-11-2023,Alice,North,715.81,8,Electronics,"3,657.91","3,729.27",New,9.00%,Bank Transfer,Retail,29834.16
1008,October,13-10-2023,Eve,West,"1,558.30",24,Electronics,"1,542.24","1,739.45",Returning,21.00%,Bank Transfer,Retail,41746.8
1088,October,18-10-2023,Eve,West,177.63,16,Furniture,"3,016.90","3,040.73",New,26.00%,Bank Transfer,Retail,48651.68
1063,August,01-08-2023,Bob,South,"6,346.13",4,Electronics,"1,046.26","1,475.29",Returning,9.00%,Bank Transfer,Retail,5901.16
1011,June,14-06-2023,Alice,South,"4,531.97",38,Furniture,"4,456.67","4,642.46",New,6.00%,Bank Transfer,Online,176413.48
1081,January,05-01-2023,Bob,South,"1,429.32",44,Food,618.79,938.04,Returning,3.00%,Cash,Online,41273.76
1008,December,05-12-2023,Charlie,East,"9,583.55",27,Electronics,68.99,429.29,Returning,18.00%,Credit Card,Retail,11590.83
1035,March,19-03-2023,Bob,South,"5,343.63",9,Clothing,"2,534.94","2,755.56",Returning,13.00%,Credit Card,Retail,24800.04
1035,March,03-03-2023,Bob,West,"2,494.74",47,Electronics,"2,936.48","3,096.64",New,6.00%,Bank Transfer,Online,145542.08
1033,May,12-05-2023,Bob,North,"5,055.98",16,Furniture,"2,915.88","3,397.36",New,20.00%,Bank Transfer,Retail,54357.76
1005,March,30-03-2023,Alice,East,"6,828.24",12,Electronics,319.83,802.43,New,4.00%,Credit Card,Retail,9629.16
1041,August,25-08-2023,Bob,South,854.77,31,Food,"1,604.52","1,756.34",Returning,17.00%,Cash,Retail,54446.54
1028,February,11-02-2023,Alice,East,"2,819.57",24,Clothing,"2,521.03","2,766.05",Returning,16.00%,Bank Transfer,Retail,66385.2
1007,March,30-03-2023,David,East,"8,088.96",14,Furniture,"1,122.07","1,608.76",New,22.00%,Cash,Retail,22522.64
1073,October,23-10-2023,Charlie,South,"4,650.68",45,Clothing,"4,369.50","4,381.89",Returning,2.00%,Credit Card,Retail,197185.05
1072,November,24-11-2023,Alice,East,"5,511.11",25,Clothing,481.19,693.4,New,27.00%,Credit Card,Retail,17335
1012,October,22-10-2023,David,North,"4,384.88",34,Furniture,"2,462.55","2,521.77",New,21.00%,Bank Transfer,Retail,85740.18
1034,April,14-04-2023,Alice,West,534.61,3,Clothing,"3,472.51","3,732.00",New,6.00%,Cash,Online,11196
1033,January,14-01-2023,Alice,West,"1,740.92",24,Clothing,"1,345.67","1,367.76",New,6.00%,Bank Transfer,Online,32826.24
1048,October,15-10-2023,Charlie,North,"4,510.86",42,Electronics,"3,139.99","3,349.37",Returning,13.00%,Credit Card,Retail,140673.54
1023,June,28-06-2023,Eve,East,"2,170.94",9,Clothing,"4,155.46","4,273.60",Returning,25.00%,Cash,Retail,38462.4
1062,May,05-05-2023,Eve,South,594.79,26,Clothing,992.17,"1,263.49",Returning,25.00%,Bank Transfer,Retail,32850.74
1088,December,19-12-2023,Alice,East,"8,452.13",20,Clothing,"4,590.24","5,088.28",New,16.00%,Bank Transfer,Retail,101765.6
1037,January,23-01-2023,Bob,North,"9,813.81",40,Clothing,"2,790.11","3,192.37",Returning,26.00%,Bank Transfer,Online,127694.8
1099,March,04-03-2023,David,East,"7,952.11",10,Furniture,"1,531.20","1,955.56",New,0.00%,Credit Card,Online,19555.6
1044,May,23-05-2023,Bob,West,"8,552.47",19,Food,"2,182.75","2,504.03",New,1.00%,Bank Transfer,Online,47576.57
1086,June,02-06-2023,Bob,East,"2,495.57",3,Electronics,"1,595.35","1,625.71",New,27.00%,Cash,Online,4877.13
1091,May,25-05-2023,Alice,North,"9,610.21",24,Clothing,"3,639.30","3,750.63",New,23.00%,Bank Transfer,Retail,90015.12
1035,August,13-08-2023,Alice,West,"2,049.56",5,Clothing,"3,991.69","4,454.97",New,14.00%,Credit Card,Retail,22274.85
1065,November,05-11-2023,Alice,East,"9,519.16",3,Furniture,"4,173.04","4,362.44",New,23.00%,Bank Transfer,Retail,13087.32
1099,April,14-04-2023,Alice,East,"9,948.71",27,Food,"4,929.55","4,990.33",Returning,29.00%,Credit Card,Online,134738.91
1047,April,14-04-2023,Eve,West,"7,146.06",16,Clothing,"3,966.86","4,321.04",Returning,23.00%,Credit Card,Retail,69136.64
1078,February,08-02-2023,Alice,South,"9,813.32",49,Furniture,"3,026.85","3,183.58",Returning,25.00%,Cash,Retail,155995.42
1003,July,17-07-2023,Eve,West,"5,738.44",15,Electronics,"1,729.14","1,870.88",Returning,23.00%,Cash,Online,28063.2
1001,May,14-05-2023,Eve,South,"2,669.46",35,Electronics,"2,745.75","3,244.76",New,5.00%,Bank Transfer,Online,113566.6
1005,March,08-03-2023,Alice,North,"4,426.26",12,Clothing,253.29,683.78,New,25.00%,Credit Card,Online,8205.36
1090,June,28-06-2023,Charlie,North,"5,976.25",41,Clothing,"3,736.88","3,946.77",Returning,6.00%,Credit Card,Online,161817.57
1014,February,11-02-2023,David,West,823.51,44,Food,"2,257.48","2,747.81",Returning,27.00%,Cash,Online,120903.64
1027,January,15-01-2023,Bob,West,"6,261.20",26,Food,149.11,477.67,Returning,14.00%,Cash,Retail,12419.42
1009,April,21-04-2023,Eve,North,"9,813.66",47,Clothing,359.41,733,Returning,20.00%,Bank Transfer,Retail,34451
1079,June,06-06-2023,David,South,"1,982.07",34,Furniture,"1,967.96","1,993.40",Returning,15.00%,Credit Card,Online,67775.6
1015,October,16-10-2023,Charlie,North,"7,946.69",23,Food,"2,937.94","3,007.53",Returning,3.00%,Cash,Retail,69173.19
1090,August,19-08-2023,Bob,West,"9,088.20",31,Clothing,"2,347.81","2,668.02",Returning,9.00%,Bank Transfer,Retail,82708.62
1042,June,06-06-2023,Bob,North,"9,442.65",20,Food,"3,115.06","3,565.58",Returning,30.00%,Credit Card,Retail,71311.6
1077,February,07-02-2023,Eve,West,"9,605.34",12,Clothing,"2,427.46","2,743.09",New,29.00%,Credit Card,Retail,32917.08
1051,April,07-04-2023,Alice,West,"5,262.45",23,Electronics,"3,325.43","3,401.10",New,10.00%,Cash,Online,78225.3
1063,October,16-10-2023,Charlie,North,"9,775.35",4,Clothing,"1,134.67","1,201.39",New,30.00%,Bank Transfer,Retail,4805.56
1096,September,11-09-2023,Eve,South,"7,597.37",23,Electronics,608.57,"1,032.22",New,25.00%,Cash,Retail,23741.06
1052,July,15-07-2023,Charlie,East,"1,700.55",48,Food,"3,002.35","3,080.61",Returning,18.00%,Bank Transfer,Retail,147869.28
1096,March,27-03-2023,Alice,North,"4,821.31",48,Clothing,"2,449.21","2,714.12",New,1.00%,Credit Card,Online,130277.76
1004,November,18-11-2023,Alice,East,"7,211.48",1,Food,182.99,211.18,Returning,27.00%,Bank Transfer,Retail,211.18
1094,January,10-01-2023,Eve,North,"2,548.67",25,Electronics,"1,933.39","1,982.92",New,17.00%,Bank Transfer,Online,49573
1023,January,05-01-2023,Alice,East,"6,442.09",2,Clothing,575.32,914.77,Returning,26.00%,Bank Transfer,Online,1829.54
1015,May,03-05-2023,David,South,"6,699.34",30,Food,"2,680.22","3,027.92",Returning,25.00%,Bank Transfer,Online,90837.6
1043,November,26-11-2023,Bob,South,"1,710.73",3,Electronics,"2,009.10","2,186.42",New,25.00%,Bank Transfer,Online,6559.26
1029,December,19-12-2023,Eve,North,"5,694.34",21,Food,"3,085.10","3,200.75",New,21.00%,Cash,Retail,67215.75
1036,April,28-04-2023,Charlie,West,"7,739.11",25,Furniture,"4,037.73","4,446.45",Returning,9.00%,Bank Transfer,Online,111161.25
1013,October,21-10-2023,David,East,"5,039.07",20,Electronics,"1,533.36","1,649.74",Returning,10.00%,Bank Transfer,Online,32994.8
1032,June,08-06-2023,Eve,West,219.82,49,Electronics,"4,812.41","5,088.00",Returning,9.00%,Credit Card,Online,249312
1071,October,30-10-2023,Alice,West,189.48,22,Electronics,"2,701.39","3,185.81",New,1.00%,Bank Transfer,Online,70087.82
1059,August,16-08-2023,Alice,West,"3,634.59",21,Clothing,"3,110.54","3,192.99",New,17.00%,Credit Card,Online,67052.79
1086,December,31-12-2023,Alice,South,"9,269.32",33,Clothing,"3,419.33","3,890.36",Returning,21.00%,Cash,Retail,128381.88
1028,August,04-08-2023,Alice,North,"2,363.90",38,Clothing,"3,350.32","3,449.94",New,26.00%,Cash,Online,131097.72
1066,July,03-07-2023,Charlie,North,"6,380.20",15,Furniture,"2,579.31","2,867.36",Returning,4.00%,Bank Transfer,Retail,43010.4
1042,January,15-01-2023,David,South,"2,298.55",46,Furniture,"2,172.38","2,367.11",New,16.00%,Cash,Retail,108887.06
1045,June,06-06-2023,Bob,South,"3,284.53",15,Electronics,316.22,799.04,New,0.00%,Bank Transfer,Online,11985.6
1062,May,16-05-2023,Charlie,North,"8,495.62",46,Furniture,159.32,303.36,New,3.00%,Cash,Retail,13954.56
1057,September,18-09-2023,Charlie,West,"7,315.73",25,Food,"1,821.91","2,027.74",New,2.00%,Bank Transfer,Retail,50693.5
1006,June,06-06-2023,Bob,East,"1,044.45",21,Electronics,"1,701.62","2,193.22",New,22.00%,Bank Transfer,Retail,46057.62
1028,February,16-02-2023,Bob,East,"4,344.15",24,Electronics,"1,969.09","2,241.96",Returning,2.00%,Credit Card,Online,53807.04
1028,November,20-11-2023,Alice,East,388.78,5,Food,734.92,991.21,Returning,21.00%,Credit Card,Online,4956.05
1044,November,28-11-2023,Charlie,West,"4,860.81",6,Electronics,"3,703.93","3,840.24",New,7.00%,Credit Card,Online,23041.44
1084,June,22-06-2023,Eve,North,"6,658.10",49,Furniture,"4,291.97","4,645.64",Returning,26.00%,Credit Card,Online,227636.36
1030,May,10-05-2023,Bob,South,"1,273.18",43,Clothing,"4,696.64","4,713.68",Returning,24.00%,Bank Transfer,Online,202688.24
1062,April,05-04-2023,Bob,North,"2,959.96",48,Food,"2,487.19","2,521.45",New,29.00%,Cash,Online,121029.6
1075,April,25-04-2023,David,West,"4,038.58",44,Furniture,"3,519.29","3,822.98",Returning,27.00%,Bank Transfer,Online,168211.12
1092,August,31-08-2023,Eve,South,"9,203.36",47,Food,"4,284.98","4,462.40",New,28.00%,Credit Card,Retail,209732.8
1089,October,19-10-2023,Eve,West,"9,933.22",23,Food,"2,120.54","2,597.67",Returning,26.00%,Credit Card,Retail,59746.41
1062,October,09-10-2023,Bob,East,544.62,4,Electronics,"1,581.59","2,034.15",Returning,21.00%,Cash,Online,8136.6
1097,October,26-10-2023,Alice,East,"7,633.98",27,Electronics,"4,686.79","5,046.51",Returning,5.00%,Credit Card,Retail,136255.77
1001,October,10-10-2023,David,West,"3,780.07",18,Furniture,"2,602.60","3,013.49",Returning,8.00%,Bank Transfer,Online,54242.82
1027,March,10-03-2023,Eve,South,"3,985.34",21,Food,"2,511.41","2,848.40",Returning,6.00%,Bank Transfer,Online,59816.4
1062,May,28-05-2023,Bob,South,"7,567.22",28,Electronics,933.16,"1,004.70",Returning,18.00%,Bank Transfer,Online,28131.6
1077,January,11-01-2023,Eve,North,"9,192.42",35,Electronics,585.37,970.49,Returning,15.00%,Bank Transfer,Retail,33967.15
1003,September,11-09-2023,David,East,"9,514.19",22,Food,"4,218.43","4,331.42",New,26.00%,Bank Transfer,Online,95291.24
1070,November,26-11-2023,David,North,"5,813.51",40,Furniture,"3,089.96","3,258.45",New,29.00%,Cash,Online,130338
1072,December,26-12-2023,Charlie,North,"3,635.50",23,Furniture,"1,662.83","2,074.25",New,12.00%,Bank Transfer,Online,47707.75
1027,February,07-02-2023,Bob,West,"7,896.74",3,Food,999.09,"1,271.99",New,15.00%,Credit Card,Online,3815.97
1009,May,14-05-2023,David,West,"2,584.91",40,Furniture,"2,799.71","3,231.08",Returning,29.00%,Credit Card,Retail,129243.2
1062,July,19-07-2023,Charlie,North,"5,684.33",10,Electronics,"2,940.40","3,054.79",Returning,8.00%,Credit Card,Online,30547.9
1037,January,23-01-2023,Charlie,East,"3,649.93",25,Food,"1,074.62","1,382.43",Returning,24.00%,Credit Card,Retail,34560.75
1097,October,30-10-2023,Eve,West,"6,600.65",49,Electronics,"4,264.46","4,315.52",New,7.00%,Cash,Retail,211460.48
1051,December,12-12-2023,Eve,North,"2,479.95",8,Clothing,467.11,792.21,New,20.00%,Credit Card,Online,6337.68
1044,October,29-10-2023,Charlie,North,"1,996.77",11,Clothing,"1,812.66","2,196.30",New,8.00%,Cash,Online,24159.3
1024,December,29-12-2023,Eve,North,"9,190.57",5,Furniture,"3,417.90","3,714.52",Returning,27.00%,Credit Card,Retail,18572.6
1079,August,06-08-2023,David,North,"1,107.86",45,Clothing,"1,406.90","1,547.35",New,17.00%,Cash,Retail,69630.75
1059,May,21-05-2023,Alice,North,"5,108.98",37,Electronics,"4,146.99","4,172.35",Returning,6.00%,Cash,Retail,154376.95
